,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
1992,FHFA-OIG,28,3,0,0,0,0,0,0,0,0,0,0,0,31,FHFA,2013
1993,Total,86,14,10,2,0,1,0,0,0,0,0,0,0,113,FHFA,2013
1994,FHFA-HQ,70,21,8,1,2,0,2,0,0,0,0,0,0,104,FHFA,2014
1995,FHFA-OIG,32,6,1,0,0,0,0,0,0,0,1,0,0,40,FHFA,2014
1996,Total,102,27,9,1,2,0,2,0,0,0,1,0,0,144,FHFA,2014
1997,FHFA-HQ,44,11,0,0,0,1,0,0,0,0,0,0,0,56,FHFA,2015
1998,FHFA-OIG,78,3,0,0,0,0,0,0,0,0,0,0,0,81,FHFA,2015
1999,Total,122,14,0,0,0,1,0,0,0,0,0,0,0,137,FHFA,2015
2000,FSIP,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FLRA,2008
2001,Authority,20,0,2,3,0,2,0,0,0,0,5,2,0,34,FLRA,2008
2002,IG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2008
2003,OGC,6,1,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2008
2004,ATRO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2008
2005,BORO,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FLRA,2008
2006,CHRO,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2008
2007,DARO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2008
2008,DERO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2008
2009,SFRO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2008
2010,WARO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2008
2011,Total,62,1,2,3,0,2,0,0,0,0,5,2,0,77,FLRA,2008
2012,FSIP,13,2,0,0,0,0,0,0,0,0,0,0,0,15,FLRA,2009
2013,Authority,32,4,0,4,0,0,0,0,0,0,2,0,5,47,FLRA,2009
2014,IG,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2009
2015,OGC,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2009
2016,ATRO,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2009
2017,BORO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2009
2018,CHRO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2009
2019,DARO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2009
2020,DERO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2009
2021,SFRO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2009
2022,WARO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2009
2023,Total,72,6,0,4,0,0,0,0,0,0,2,0,5,89,FLRA,2009
2024,FSIP,13,0,0,0,0,0,0,0,0,0,0,0,0,13,FLRA,2010
2025,Authority,24,6,1,1,1,0,0,0,0,0,1,0,0,34,FLRA,2010
2026,IG,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2010
2027,OGC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2010
2028,ATRO,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2010
2029,BORO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2010
2030,CHRO,11,2,0,0,0,0,0,0,0,0,0,0,0,13,FLRA,2010
2031,DARO,6,1,0,0,0,0,0,0,0,0,0,0,0,7,FLRA,2010
2032,DERO,5,0,0,0,0,0,0,0,0,0,0,0,0,5,FLRA,2010
2033,SFRO,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FLRA,2010
2034,WARO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2010
2035,Total,97,9,1,1,1,0,0,0,0,0,1,0,0,110,FLRA,2010
2036,FSIP,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FLRA,2011
2037,Authority,39,5,0,0,0,0,0,0,0,0,0,0,0,44,FLRA,2011
2038,IG,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2011
2039,OGC,8,0,0,1,0,0,0,0,0,0,0,0,0,9,FLRA,2011
2040,ATRO,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FLRA,2011
2041,BORO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2011
2042,CHRO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2011
2043,DARO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2011
2044,DERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2011
2045,SFRO,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2011
2046,WARO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2011
2047,Total,80,5,0,1,0,0,0,0,0,0,0,0,0,86,FLRA,2011
2048,FSIP,8,0,0,0,0,0,0,0,0,0,0,0,0,8,FLRA,2012
2049,Authority,26,3,0,0,0,0,0,0,0,0,0,0,0,29,FLRA,2012
2050,IG,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2012
2051,OGC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2012
2052,ATRO,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2012
2053,BORO,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2012
2054,CHRO,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2012
2055,DARO,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2012
2056,DERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2012
2057,SFRO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2012
2058,WARO,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2012
2059,Total,58,3,0,0,0,0,0,0,0,0,0,0,0,61,FLRA,2012
2060,FSIP,10,2,1,0,0,0,0,0,0,0,0,0,0,13,FLRA,2013
2061,Authority,41,5,1,0,0,0,0,0,0,0,0,0,0,47,FLRA,2013
2062,IG,2,2,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2013
2063,OGC,3,0,1,0,0,0,0,0,0,0,0,0,0,4,FLRA,2013
2064,ATRO,5,0,0,0,0,0,0,0,0,0,0,0,0,5,FLRA,2013
2065,BORO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2013
2066,CHRO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2013
2067,DARO,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2013
2068,DERO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2013
2069,SFRO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2013
2070,WARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2013
2071,Total,75,9,3,0,0,0,0,0,0,0,0,0,0,87,FLRA,2013
2072,FSIP,10,0,0,0,0,0,0,0,0,0,0,0,0,10,FLRA,2014
2073,Authority,69,1,0,0,0,0,0,0,0,0,0,0,0,70,FLRA,2014
2074,IG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2014
2075,OGC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2014
2076,ATRO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2014
2077,BORO,2,2,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2014
2078,CHRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2014
2079,DARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2014
2080,DERO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FLRA,2014
2081,SFRO,5,0,0,0,0,0,0,0,0,0,0,0,0,5,FLRA,2014
2082,WARO,1,1,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2014
2083,Total,90,5,0,0,0,0,0,0,0,0,0,0,0,95,FLRA,2014
2084,FSIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2015
2085,Authority,57,0,0,0,0,0,0,0,0,0,0,0,0,57,FLRA,2015
2086,IG,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FLRA,2015
2087,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2015
2088,ATRO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2015
2089,BORO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FLRA,2015
2090,CHRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2015
2091,DARO,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FLRA,2015
2092,DERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLRA,2015
2093,SFRO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2015
2094,WARO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FLRA,2015
2095,Total,80,0,0,0,0,0,0,0,0,0,0,0,0,80,FLRA,2015
2096,Total,1,0,1,0,0,0,0,0,0,0,0,0,0,2,FMC,2008
2097,Total,4,8,0,3,1,0,1,0,0,0,0,5,4,26,FMC,2009
2098,Total,11,5,4,1,1,0,1,0,2,1,1,1,5,33,FMC,2010
2099,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FMC,2011
2100,Total,2,0,0,0,0,0,0,0,0,0,0,0,0,2,FMC,2012
2101,Total,12,1,0,0,0,0,0,0,0,0,0,0,0,13,FMC,2013
2102,Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,FMC,2014
2103,Total,12,0,0,0,0,0,0,0,0,0,0,0,0,12,FMC,2015
2104,Total,107,0,0,0,0,0,0,0,0,0,0,0,0,107,FMCS,2008
2105,Total,133,0,0,0,0,0,0,0,0,0,0,0,0,133,FMCS,2009
2106,Total,141,1,0,0,0,0,0,0,0,0,0,0,0,142,FMCS,2010
2107,Total,64,1,0,0,0,0,0,0,0,0,0,0,0,65,FMCS,2011
2108,Total,24,1,0,0,0,0,0,0,0,0,0,0,0,25,FMCS,2012
2109,Total,95,0,0,0,0,0,0,0,0,0,0,0,0,95,FMCS,2013
2110,Total,84,4,1,0,0,0,0,0,0,0,0,0,0,89,FMCS,2014
2111,Total,45,8,3,0,0,0,0,0,0,0,0,0,0,56,FMCS,2015
2112,Total,56,3,0,0,0,0,0,0,0,0,0,0,0,59,FMSHRC,2008
2113,Total,47,0,0,0,0,0,0,0,0,0,0,0,0,47,FMSHRC,2009
2114,Total,87,1,0,0,0,0,0,0,0,0,0,0,0,88,FMSHRC,2010
2115,Total,174,4,0,0,0,0,0,0,0,0,0,0,0,178,FMSHRC,2011
2116,Total,176,0,0,0,0,0,0,0,0,0,0,0,0,176,FMSHRC,2012
2117,Total,142,2,0,0,0,0,0,0,0,0,0,0,0,144,FMSHRC,2013
2118,Total,118,1,0,0,0,0,0,0,0,0,0,0,0,119,FMSHRC,2014
2119,Total,116,1,0,0,0,0,0,0,0,0,0,0,0,117,FMSHRC,2015
2120,Total,18,0,0,0,0,0,0,0,0,0,0,0,0,18,FOMC,2008
2121,13,0,0,0,0,0,0,0,0,0,0,0,0,13,,FOMC,2009
2123,Total,24,0,0,0,0,0,0,0,0,0,0,0,0,24,FOMC,2010
2124,Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,FOMC,2011
2125,Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FOMC,2012
2126,Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,FOMC,2013
2127,Total,16,0,0,0,0,0,0,0,0,0,0,0,0,16,FOMC,2014
2128,Total,12,0,0,0,0,0,0,0,0,0,0,0,0,12,FOMC,2015
2129,Total,315,4,0,0,0,0,0,0,0,0,0,0,0,319,FRB,2008
2130,Total,280,3,0,0,0,0,0,0,0,0,0,0,0,283,FRB,2009
2131,Total,264,11,1,1,0,1,0,0,0,0,0,0,0,278,FRB,2010
2132,Total,305,8,0,0,0,0,0,0,0,0,0,0,0,313,FRB,2011
2133,Total,355,3,0,0,0,0,0,0,0,0,0,0,0,358,FRB,2012
2134,Total,368,16,1,0,1,0,0,0,1,0,0,0,0,387,FRB,2013
2135,Total,345,29,7,1,1,0,0,2,1,0,1,0,0,387,FRB,2014
2136,Total,343,37,2,2,0,0,2,1,2,0,0,0,0,389,FRB,2015
2137,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRTIB,2008
2139,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRTIB,2009
2141,Total,19,3,0,0,0,0,0,0,0,0,0,0,0,22,FRTIB,2010
2142,Total,19,5,0,0,0,0,0,0,0,0,0,0,0,24,FRTIB,2011
2143,Total,7,1,4,0,0,0,0,0,0,0,0,0,0,12,FRTIB,2012
2144,Total,9,11,1,0,0,1,0,0,0,0,0,0,0,22,FRTIB,2013
2145,Total,19,9,0,0,0,1,0,0,0,1,0,0,0,30,FRTIB,2014
2146,Total,4,4,0,1,1,0,1,0,0,0,0,0,0,11,FRTIB,2015
2147,Total,916,54,7,4,2,1,1,0,0,0,1,0,0,986,FTC,2008
2148,Total,1129,55,15,14,0,0,0,0,0,0,0,0,0,1213,FTC,2009
2149,Total,985,42,17,5,6,0,1,4,0,0,0,0,0,1060,FTC,2010
2150,Total,1169,26,5,5,3,1,1,0,0,0,0,0,0,1210,FTC,2011
2151,Total,1130,18,1,1,1,1,0,0,0,0,0,0,0,1152,FTC,2012
2152,Total,1052,54,8,2,1,2,0,0,0,0,0,0,0,1119,FTC,2013
2153,Total,83,949,2,0,0,0,0,0,0,0,0,0,0,1034,FTC,2014
2154,Total,883,25,5,0,0,0,0,0,0,0,0,0,0,913,FTC,2015
2155,224,64,11,1,0,0,0,0,0,0,0,1,0,301,,GSA,2008
2157,Total,743,502,180,68,11,12,3,2,1,4,5,0,1,1532,GSA,2009
2158,Total,464,754,236,88,43,20,9,1,1,3,1,1,1,1622,GSA,2010
2159,Total,502,654,321,80,45,27,26,6,4,6,2,2,2,1677,GSA,2011
2160,Total,380,612,329,130,70,94,129,7,6,4,6,3,3,1773,GSA,2012
2161,Total,114,145,0,0,0,0,0,0,0,0,0,0,0,259,GSA,2013
2162,Total,313,175,0,0,0,0,0,0,0,0,0,0,0,488,GSA,2014
2163,Total,326,355,0,0,0,0,0,0,0,0,0,0,0,681,GSA,2015
2164,ACF,0,0,0,81,0,0,0,0,0,0,0,0,0,81,HHS,2008
2165,AOA,14,0,0,0,0,0,0,0,0,0,0,0,0,14,HHS,2008
2166,CMS,30484,4428,2449,1125,466,242,126,91,116,57,189,15,16,39804,HHS,2008
2167,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2008
2168,OPHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2008
2169,AHRQ,42,20,0,0,0,0,0,0,0,0,0,0,0,62,HHS,2008
2170,CDC,440,12,3,6,4,7,4,2,1,3,5,2,0,489,HHS,2008
2171,FDA,106,77,118,65,92,168,151,194,111,223,317,480,5357,7459,HHS,2008
2172,HRSA,237,52,8,4,1,0,0,0,0,0,1,0,0,303,HHS,2008
2173,IHS,20,5,6,6,0,0,3,0,0,2,0,0,0,42,HHS,2008
2174,NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2008
2175,SAMHSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2008
2176,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2008
2177,Total,31343,4594,2584,1287,563,417,284,287,228,285,512,497,5373,48254,HHS,2008
2178,ACF,52,11,5,0,4,5,1,0,2,3,16,32,2,133,HHS,2009
2179,AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2009
2180,CMS,27310,2371,681,323,165,145,76,34,35,49,45,50,35,31319,HHS,2009
2181,OIG,329,3,0,0,0,0,0,0,0,0,0,0,0,332,HHS,2009
2182,OPHS,272,64,34,26,12,14,10,11,13,9,56,28,36,585,HHS,2009
2183,AHRQ,46,22,0,0,0,0,0,0,0,0,0,0,0,68,HHS,2009
2184,CDC,103,40,7,6,4,4,3,0,0,0,0,2,8,177,HHS,2009
2185,FDA,397,434,395,600,521,447,406,520,444,312,1578,312,1015,7381,HHS,2009
2186,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2009
2187,IHS,55,10,12,3,0,0,0,3,0,0,0,0,0,83,HHS,2009
2188,NIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2009
2189,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2009
2190,SAMHSA,10,18,10,200,0,0,0,0,0,0,0,0,0,238,HHS,2009
2191,Total,28574,2973,1144,1158,706,615,496,568,494,373,1695,424,1096,40316,HHS,2009
2192,ACF,990,26,29,25,27,26,17,6,12,17,86,36,225,1522,HHS,2010
2193,AOA,27,0,0,0,0,0,0,0,0,0,0,0,0,27,HHS,2010
2194,CMS,28679,3087,1538,1053,937,714,568,492,377,283,1256,440,118,39542,HHS,2010
2195,OIG,483,1,0,0,0,0,0,0,0,0,0,0,0,484,HHS,2010
2196,AHRQ,1,25,9,1,0,0,0,1,0,0,0,0,0,37,HHS,2010
2197,CDC,4,27,9,7,0,1,0,0,0,1,0,0,5,54,HHS,2010
2198,FDA,4210,689,263,164,110,108,70,74,53,39,109,121,234,6244,HHS,2010
2199,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2010
2200,IHS,12,6,7,2,3,2,3,4,9,0,0,0,0,48,HHS,2010
2201,NIH,721,269,78,37,27,17,12,8,3,3,9,2,5,1191,HHS,2010
2202,SAMHSA,17,6,0,0,0,0,0,0,0,0,0,0,0,23,HHS,2010
2203,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2010
2204,OPHS/PSC,205,43,14,14,10,1,6,0,1,0,1,1,1,297,HHS,2010
2205,Total,35349,4179,1947,1303,1114,869,676,585,455,343,1461,600,588,49469,HHS,2010
2206,ACF,6,5,11,18,17,11,28,10,19,20,78,9,154,386,HHS,2011
2207,AOA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,HHS,2011
2208,CMS,38244,5083,1933,1113,796,412,260,156,152,84,266,90,52,48641,HHS,2011
2209,OIG,466,2,0,0,0,0,0,0,0,0,0,0,0,468,HHS,2011
2210,AHRQ,33,1,2,1,0,0,0,0,0,0,0,0,0,37,HHS,2011
2211,CDC,17,8,8,0,2,0,1,3,0,0,1,0,0,40,HHS,2011
2212,FDA,2423,717,438,392,492,441,244,116,91,81,253,99,220,6007,HHS,2011
2213,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2011
2214,IHS,14,8,9,11,4,3,3,2,4,0,0,0,0,58,HHS,2011
2215,NIH,788,251,65,30,19,9,11,7,9,5,7,2,1,1204,HHS,2011
2216,SAMHSA,1,32,17,0,0,0,0,0,0,0,0,0,0,50,HHS,2011
2217,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2011
2218,OASH,235,74,29,28,11,3,4,0,3,0,1,1,0,389,HHS,2011
2219,Total,42243,6181,2512,1593,1341,879,551,294,278,190,606,201,427,57296,HHS,2011
2220,ACF,31,23,20,11,8,6,14,4,1,3,16,2,36,175,HHS,2012
2221,CMS,41338,5773,918,406,200,129,63,35,21,5,41,12,11,48952,HHS,2012
2222,OIG,425,2,0,0,0,0,0,0,0,0,0,0,0,427,HHS,2012
2223,AHRQ,24,0,0,0,0,0,0,0,0,0,0,0,0,24,HHS,2012
2224,CDC,4,26,5,2,0,0,0,0,0,0,1,0,2,40,HHS,2012
2225,FDA,182,357,532,504,369,497,414,495,462,399,1684,109,199,6203,HHS,2012
2226,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2012
2227,IHS,19,16,14,8,4,6,5,7,0,0,0,0,0,79,HHS,2012
2228,NIH,704,205,52,10,0,0,0,0,1,0,0,0,0,972,HHS,2012
2229,SAMHSA,12,10,12,16,4,1,0,0,0,0,0,0,0,55,HHS,2012
2230,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2012
2231,OASH,181,35,8,5,4,1,1,3,0,0,0,0,0,238,HHS,2012
2232,ACL,18,0,0,0,0,0,0,0,0,0,0,0,0,18,HHS,2012
2233,Total,42938,6447,1561,962,589,640,497,544,485,407,1742,123,248,57183,HHS,2012
2234,ACF,23,2,2,0,3,3,2,0,2,3,10,24,102,176,HHS,2013
2235,CMS,40613,3614,751,329,192,116,92,86,72,54,486,274,84,46763,HHS,2013
2236,OIG,453,0,0,0,0,0,0,0,0,0,0,0,0,453,HHS,2013
2237,AHRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2013
2238,CDC,213,54,26,14,17,10,10,10,6,6,14,10,31,421,HHS,2013
2239,FDA,436,493,544,436,431,471,493,533,460,420,1430,105,149,6401,HHS,2013
2240,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2013
2241,IHS,15,21,19,3,0,0,0,0,0,0,0,0,0,58,HHS,2013
2242,NIH,796,198,38,8,6,0,0,0,0,0,0,0,0,1046,HHS,2013
2243,SAMHSA,23,5,7,0,3,2,4,4,4,6,5,5,5,73,HHS,2013
2244,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2013
2245,OASH,206,0,0,0,0,0,0,0,0,0,0,0,0,206,HHS,2013
2246,ACL,17,0,1,0,0,0,0,0,0,0,0,0,0,18,HHS,2013
2247,Total,42795,4387,1388,790,652,602,601,633,544,489,1945,418,371,55615,HHS,2013
2248,ACF,382,90,50,236,150,73,80,1,0,1,2,3,15,1083,HHS,2014
2249,CMS,16341,2493,423,171,96,50,43,41,34,16,154,148,82,20092,HHS,2014
2250,OIG,515,0,0,0,0,0,0,0,0,0,0,0,0,515,HHS,2014
2251,CDC,268,57,28,21,15,7,5,4,9,10,10,0,9,443,HHS,2014
2252,FDA,320,461,577,497,598,454,613,548,463,415,1628,134,68,6776,HHS,2014
2253,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2014
2254,IHS,15,23,21,5,0,0,0,0,0,0,0,0,0,64,HHS,2014
2255,NIH,743,171,27,5,2,0,0,0,0,0,0,0,0,948,HHS,2014
2256,SAMHSA,9,12,2,12,2,2,1,0,1,2,13,5,1,62,HHS,2014
2257,OS,33,1,0,0,0,0,0,0,0,0,0,0,0,34,HHS,2014
2258,OASH,188,5,0,0,0,0,0,0,0,0,0,0,0,193,HHS,2014
2259,ACL,5,3,0,0,0,0,0,0,0,0,0,0,0,8,HHS,2014
2260,Total,18819,3316,1128,947,863,586,742,594,507,444,1807,290,175,30218,HHS,2014
2261,ACF,397,86,9,11,20,47,97,118,109,17,17,3,6,937,HHS,2015
2262,CMS,17098,62,59,22,1,1,1,0,0,1,0,0,0,17245,HHS,2015
2263,OIG,762,0,0,0,0,0,0,0,0,0,0,0,0,762,HHS,2015
2264,CDC,185,52,35,29,16,21,10,11,13,11,21,18,34,456,HHS,2015
2265,FDA,5249,559,178,96,50,60,46,28,44,28,0,0,0,6338,HHS,2015
2266,HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HHS,2015
2267,IHS,21,23,19,0,0,0,0,0,0,0,0,0,0,63,HHS,2015
2268,NIH,787,176,21,6,0,0,0,0,0,0,0,0,0,990,HHS,2015
2269,SAMHSA,59,2,5,3,2,2,2,0,0,0,5,0,1,81,HHS,2015
2270,OS,668,18,0,0,0,0,0,0,0,0,0,0,0,686,HHS,2015
2271,OASH,23,193,1,0,0,0,0,0,0,0,0,0,0,217,HHS,2015
2272,ACL,4,5,0,0,2,0,0,0,0,0,0,0,0,11,HHS,2015
2273,Total,25253,1176,327,167,91,131,156,157,166,57,43,21,41,27786,HHS,2015
2274,FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2008
2275,HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2008
2276,IG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2008
2277,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2008
2278,FO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2009
2279,HQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2009
2280,IG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2009
2281,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUD,2009
2282,HQ,175,125,203,75,56,62,28,27,16,19,44,21,17,868,HUD,2010
2283,OIG,85,5,2,2,1,0,0,0,0,1,0,0,0,96,HUD,2010
2284,R01,79,44,2,1,0,0,0,0,0,0,0,0,0,126,HUD,2010
2285,R02,38,44,11,3,2,0,0,0,0,0,0,0,0,98,HUD,2010
2286,R03,88,38,7,4,2,0,0,0,1,1,0,0,0,141,HUD,2010
2287,R04,70,45,6,0,0,0,0,0,0,0,0,0,0,121,HUD,2010
2288,R05,141,29,52,0,7,0,0,0,1,0,1,0,0,231,HUD,2010
2289,R06,37,33,42,1,0,1,0,0,0,0,0,0,0,114,HUD,2010
2290,R07,24,39,5,1,3,3,1,0,0,0,1,0,0,77,HUD,2010
2291,R08,44,66,5,5,0,3,0,0,0,0,0,0,0,123,HUD,2010
2292,R09,150,133,47,31,0,0,0,0,0,0,0,0,0,361,HUD,2010
2293,R0X,79,77,0,0,0,0,0,0,0,0,0,0,0,156,HUD,2010
2294,Total,1010,678,382,123,71,69,29,27,18,21,46,21,17,2512,HUD,2010
2295,HQ,335,85,76,47,29,20,19,11,7,6,22,11,6,674,HUD,2011
2296,OIG,84,26,6,3,5,1,1,1,0,0,0,0,0,127,HUD,2011
2297,R01,44,42,7,5,0,0,0,0,0,0,0,0,0,98,HUD,2011
2298,R02,98,28,1,1,0,0,0,0,0,0,0,0,0,128,HUD,2011
2299,R03,125,36,2,0,0,0,0,0,0,0,0,0,0,163,HUD,2011
2300,R04,180,22,2,1,0,1,0,0,0,0,0,0,0,206,HUD,2011
2301,R05,124,27,1,0,0,0,0,0,0,0,0,0,0,152,HUD,2011
2302,R06,185,19,0,0,0,0,0,0,0,0,0,0,0,204,HUD,2011
2303,R07,19,24,0,0,0,0,0,0,0,0,0,0,0,43,HUD,2011
2304,R08,76,22,4,4,0,0,0,0,0,0,0,0,0,106,HUD,2011
2305,R09,115,56,2,0,0,0,0,0,0,0,0,0,0,173,HUD,2011
2306,R0X,57,24,1,1,0,0,0,0,0,0,0,0,0,83,HUD,2011
2307,Total,1442,411,102,62,34,22,20,12,7,6,22,11,6,2157,HUD,2011
2308,HQ,248,74,63,31,27,25,11,7,9,5,13,1,0,514,HUD,2012
2309,OIG,98,8,2,0,1,0,0,0,0,1,2,0,0,112,HUD,2012
2310,R01,51,21,1,0,0,0,0,0,0,0,0,0,0,73,HUD,2012
2311,R02,56,25,1,0,0,0,0,0,0,0,0,0,0,82,HUD,2012
2312,R03,79,19,1,2,0,0,0,0,0,0,0,0,0,101,HUD,2012
2313,R04,262,91,12,4,0,0,0,0,0,0,0,0,1,370,HUD,2012
2314,R05,78,22,1,0,0,0,0,0,0,0,0,0,0,101,HUD,2012
2315,R06,101,17,1,2,1,0,0,0,0,0,0,0,0,122,HUD,2012
2316,R07,17,8,7,3,0,1,0,0,0,0,0,0,0,36,HUD,2012
2317,R08,71,14,1,0,0,0,0,0,0,0,0,1,0,87,HUD,2012
2318,R09,93,29,4,2,1,0,0,1,0,0,0,0,0,130,HUD,2012
2319,R0X,62,9,0,0,1,0,0,0,0,0,0,0,0,72,HUD,2012
