,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
262,ICE,73564,10334,5254,2871,2089,1930,1511,779,229,329,101,35,17,99043,DHS,2015
263,NPPD,153,48,2841,3293,2081,947,1526,960,50,9,9,0,0,11917,DHS,2015
264,OIG,98,13,6,1,0,0,0,0,0,0,0,0,0,118,DHS,2015
265,PRIV,167,0,0,0,0,0,0,0,0,0,0,0,0,167,DHS,2015
266,S&T,17,8,3,1,1,0,0,0,0,0,1,0,0,31,DHS,2015
267,TSA,93,29,15,19,14,16,10,14,10,17,65,38,46,386,DHS,2015
268,USCG,1287,0,0,0,0,0,0,0,0,0,0,0,0,1287,DHS,2015
269,USCIS,17963,8360,1609,254,99,49,21,8,9,9,15,0,0,28396,DHS,2015
270,USSS,145,0,0,0,0,0,0,0,0,0,0,0,0,145,DHS,2015
271,Total,105348,18846,9745,6447,4289,2952,3073,1771,307,373,217,81,104,153553,DHS,2015
272,OGC,11,0,0,0,0,0,0,0,0,0,0,0,0,11,DNFSB,2008
273,OGM,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DNFSB,2008
274,Total,27,0,0,0,0,0,0,0,0,0,0,0,0,27,DNFSB,2008
275,OGC,2,1,0,0,0,0,0,0,0,0,0,0,0,3,DNFSB,2009
276,OGM,13,0,0,0,0,0,0,0,0,0,0,0,0,13,DNFSB,2009
277,Total,15,1,0,0,0,0,0,0,0,0,0,0,0,16,DNFSB,2009
278,OGC,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DNFSB,2010
279,OGM,12,1,0,0,0,0,0,0,0,0,0,0,0,13,DNFSB,2010
280,Total,17,1,0,0,0,0,0,0,0,0,0,0,0,18,DNFSB,2010
281,OGC,4,0,0,0,0,0,0,0,0,0,0,0,0,4,DNFSB,2011
282,OGM,17,0,0,0,0,0,0,0,0,0,0,0,0,17,DNFSB,2011
283,Total,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DNFSB,2011
284,OGC,1,1,0,0,0,0,0,0,0,0,0,0,0,2,DNFSB,2012
285,OGM,10,0,0,0,0,0,0,0,0,0,0,0,0,10,DNFSB,2012
286,Total,11,1,0,0,0,0,0,0,0,0,0,0,0,12,DNFSB,2012
287,Total,12,2,1,0,0,0,0,0,0,0,0,0,0,15,DNFSB,2013
288,Total,18,2,2,2,0,0,0,0,0,0,1,0,0,25,DNFSB,2014
289,Total,15,0,0,0,0,0,0,0,0,0,0,0,0,15,DNFSB,2015
290,BIS,48,6,0,0,0,0,0,0,0,0,0,0,0,54,DOC,2008
291,Census,152,29,3,2,2,0,0,0,0,0,0,0,0,188,DOC,2008
292,EDA,53,0,0,0,0,0,0,0,0,0,0,0,0,53,DOC,2008
293,ESA,7,2,0,0,0,0,0,0,0,0,0,0,0,9,DOC,2008
