Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
DoD,233.0,DISA,322.0,142.0,234.0,2010
DoD,120.0,DLA,440.0,8.0,56.0,2010
DoD,109.0,DoDIG,533.0,10.0,76.0,2010
DoD,12.0,DTRA,18.0,12.0,12.0,2010
DoD,62.0,NAVY,388.0,1.0,39.0,2010
DoD,369.0,NGA,1022.0,6.0,181.0,2010
DoD,152.0,NRO,679.0,12.0,58.0,2010
DoD,107.0,NSA,322.0,2.0,97.0,2010
DoD,333.0,OSD/JS,3359.0,1.0,92.0,2010
DOE,30.0,HQ,351.0,1.0,15.0,2010
DOI,845.0,Appeals,1820.0,1.0,642.0,2010
DOJ,78.42,OIP,409.0,1.0,55.0,2010
DOJ,23.0,USPC,39.0,14.0,20.0,2010
DOT,253.0,FAA,1636.0,,105.0,2010
DOT,363.0,FHWA,860.0,26.0,159.0,2010
DOT,92.0,FMCSA,159.0,11.0,107.0,2010
DOT,289.75,FRA,430.0,91.0,319.0,2010
DOT,45.0,FTA,45.0,45.0,45.0,2010
DOT,736.0,MARAD,942.0,344.0,904.0,2010
DOT,66.0,NHTSA,214.0,5.0,50.0,2010
DOT,132.0,OIG,258.0,32.0,118.0,2010
DOT,79.0,OST,224.0,18.0,36.0,2010
DOT,30.0,PHMSA,50.0,20.0,20.0,2010
DOT,0.0,RITA,0.0,0.0,0.0,2010
DOT,0.0,SLSDC,0.0,0.0,0.0,2010
ED,147.0,OM-RIMS,359.0,30.0,139.0,2010
EEOC,16.0,OLC/HDQ,34.0,1.0,16.0,2010
EPA,190.22,HQ,2256.0,,29.0,2010
Ex-Im Bank,21.0,HQ,25.0,17.0,21.0,2010
FCA,0.0,FCA,0.0,0.0,0.0,2010
FCC,389.0,FCC,579.0,264.0,322.0,2010
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2010
FDIC,20.0,FDIC,69.0,10.0,19.0,2010
FEC,0.0,FEC,0.0,0.0,0.0,2010
FERC,30.0,FERC,64.0,8.0,25.0,2010
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2010
FHFA,11.0,FHFA,21.0,6.0,8.0,2010
FLRA,0.0,FSIP,0.0,0.0,0.0,2010
FLRA,24.0,Authority,24.0,24.0,24.0,2010
FLRA,0.0,OGC,0.0,0.0,0.0,2010
FMC,39.0,FMC,39.0,39.0,39.0,2010
FMCS,10.0,FMCS,10.0,10.0,10.0,2010
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2010
FOMC,20.0,FOMC,20.0,20.0,20.0,2010
FRB,16.0,FRB,24.0,11.0,16.0,2010
FRTIB,0.0,FRTIB,0.0,0.0,0.0,2010
FTC,23.07,FTC,53.0,17.0,21.0,2010
GSA,34.0,GSA,75.0,1.0,31.0,2010
HHS,0.0,ACF,0.0,0.0,0.0,2010
HHS,0.0,AOA,0.0,0.0,0.0,2010
HHS,1420.0,CMS,4008.0,9.0,1365.0,2010
HHS,0.0,OIG,0.0,0.0,0.0,2010
HHS,0.0,AHRQ,0.0,0.0,0.0,2010
HHS,0.0,CDC,0.0,0.0,0.0,2010
HHS,0.0,FDA,0.0,0.0,0.0,2010
HHS,0.0,HRSA,0.0,0.0,0.0,2010
HHS,0.0,IHS,0.0,0.0,0.0,2010
HHS,0.0,NIH,0.0,0.0,0.0,2010
HHS,60.0,SAMHSA,65.0,30.0,38.0,2010
HHS,316.0,OS,1310.0,1.0,67.0,2010
HHS,280.0,OPHS/PSC,1041.0,1.0,185.0,2010
HUD,77.0,HQ,133.0,34.0,110.0,2010
HUD,38.0,OIG,140.0,2.0,75.0,2010
HUD,0.0,R01,0.0,0.0,0.0,2010
HUD,50.0,R02,89.0,10.0,65.0,2010
HUD,36.0,R03,36.0,36.0,36.0,2010
HUD,0.0,R04,0.0,0.0,0.0,2010
HUD,13.0,R05,13.0,13.0,13.0,2010
HUD,35.0,R06,69.0,19.0,45.0,2010
HUD,0.0,R07,0.0,0.0,0.0,2010
HUD,129.0,R08,129.0,129.0,129.0,2010
HUD,0.0,R09,0.0,0.0,0.0,2010
HUD,0.0,R0X,0.0,0.0,0.0,2010
IAF,0.0,IAF,0.0,0.0,0.0,2010
IMLS,0.0,IMLS,0.0,0.0,0.0,2010
LSC,0.0,LSC,0.0,0.0,0.0,2010
MCC,0.0,MCC,0.0,0.0,0.0,2010
MSPB,20.0,OCB,25.0,16.0,19.0,2010
NARA,49.0,NARA,219.0,2.0,21.0,2010
NASA,19.42,OGC,45.0,,20.0,2010
NCPC,0.0,NCPC,0.0,0.0,0.0,2010
NCUA,21.25,NCUA,64.0,8.0,18.5,2010
NEA,13.0,NEA,20.0,6.0,13.0,2010
NEH,21.0,NEH,22.0,20.0,21.0,2010
NIGC,11.5,NIGC,15.0,8.0,11.5,2010
NLRB,17.0,NLRB,57.0,0.0,18.0,2010
NMB,16.0,NMB,16.0,16.0,16.0,2010
NRPC,42.0,NRPC,63.0,5.0,61.0,2010
NSF,19.0,OGC,20.0,19.0,20.0,2010
NSF,0.0,OIG,0.0,0.0,0.0,2010
NTSB,86.0,HQ,245.0,4.0,36.0,2010
ODNI,14.0,ODNI,14.0,14.0,14.0,2010
OGE,18.8,OGE,40.0,3.0,16.0,2010
OMB,57.0,OMB,146.0,10.0,49.0,2010
ONDCP,0.0,OLC,0.0,0.0,0.0,2010
ONHIR,0.0,ONHIR,0.0,0.0,0.0,2010
OPIC,15.0,OPIC,21.0,4.0,17.5,2010
OPM,57.0,OPM,188.0,14.0,50.0,2010
OSC,276.0,OSC,1600.0,1.0,44.0,2010
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2010
